,Brand,model,year,km_driven,fuel,seller_type,transmission,owner,selling_price
26,Maruti,Zen LX,1999,70000,Petrol,Individual,Manual,First Owner,75000
27,Maruti,Zen LXI,1999,70000,Petrol,Individual,Manual,Second Owner,85000
28,Mahindra,Jeep Classic,1999,2020,Diesel,Individual,Manual,Second Owner,170000
29,Ford,Ikon 1.4 ZXi,2000,42743,Petrol,Dealer,Manual,Third Owner,22000
30,Maruti,800 DX,2000,60000,Petrol,Individual,Manual,First Owner,50000
31,Maruti,Wagon R VX,2000,88500,Petrol,Individual,Manual,Fourth & Above Owner,50000
32,Maruti,800 AC,2000,40000,Petrol,Individual,Manual,Third Owner,60000
33,Maruti,Zen LX,2000,50000,Petrol,Individual,Manual,First Owner,60000
34,Maruti,Alto LX,2000,90000,Petrol,Individual,Manual,Second Owner,61000
35,Maruti,Alto LXi,2000,90000,Petrol,Individual,Manual,Second Owner,65000
36,Maruti,Zen LX,2000,80000,Petrol,Individual,Manual,Second Owner,85000
37,Maruti,Zen VXI,2000,120000,Petrol,Individual,Manual,First Owner,100000
38,Maruti,Wagon R VXI,2000,80000,Petrol,Individual,Manual,First Owner,105000
39,Mahindra,Jeep MM 775 XDB,2000,50000,Diesel,Individual,Manual,Second Owner,155000
40,Maruti,Gypsy King Hard Top,2000,60000,Petrol,Individual,Manual,Fourth & Above Owner,165000
41,Maruti,800 EX,2001,30000,Petrol,Individual,Manual,First Owner,40000
42,Maruti,800 AC BSII,2001,100000,Petrol,Individual,Manual,Second Owner,43000
43,Maruti,800 AC BSII,2001,72539,Petrol,Individual,Manual,Second Owner,45000
44,Hyundai,Santro LP zipPlus,2001,50000,Petrol,Individual,Manual,Third Owner,52000
45,Hyundai,Santro LP zipPlus,2001,50000,Petrol,Individual,Manual,Third Owner,52000
46,Hyundai,Santro GLS I - Euro I,2001,60000,Petrol,Individual,Manual,Third Owner,55000
47,Maruti,Zen LX,2001,70000,Petrol,Individual,Manual,First Owner,62000
48,Maruti,800 Std,2001,60000,Petrol,Individual,Manual,Third Owner,65000
49,Hyundai,Santro LE zipPlus,2001,70000,Petrol,Individual,Manual,First Owner,68000
50,Hyundai,Santro LE zipPlus,2001,70000,Petrol,Individual,Manual,First Owner,68000
51,Maruti,Wagon R LXI,2001,117000,Petrol,Individual,Manual,Second Owner,70000
52,Maruti,Wagon R LXI,2001,117000,Petrol,Individual,Manual,Second Owner,70000
53,Mahindra,Bolero DI DX 7 Seater,2001,100000,Diesel,Individual,Manual,Third Owner,80000
54,Maruti,Omni E 8 Str STD,2001,70000,Petrol,Individual,Manual,Third Owner,85000
55,Maruti,Zen VX,2001,86000,Petrol,Individual,Manual,Second Owner,85000
56,Maruti,Zen LX,2001,97000,Petrol,Individual,Manual,Fourth & Above Owner,93000
57,Toyota,Qualis FS B3,2001,256000,Diesel,Dealer,Manual,First Owner,150000
58,Mercedes-Benz,E-Class 220 CDI,2001,100000,Diesel,Individual,Manual,Second Owner,350000
59,Maruti,Gypsy King HT BSIV,2001,49359,Petrol,Individual,Manual,Third Owner,409999
60,Maruti,Gypsy King HT BSIV,2001,49359,Petrol,Individual,Manual,Third Owner,409999
61,OpelCorsa,1.4 GL,2002,100000,Petrol,Individual,Manual,Third Owner,35000
62,Ambassador,Classic 2000 Dsz,2002,120000,Diesel,Individual,Manual,Fourth & Above Owner,50000
63,Maruti,Zen LXi BSII,2002,80000,Petrol,Individual,Manual,Second Owner,60000
64,Daewoo,Matiz SD,2002,50000,Petrol,Individual,Manual,First Owner,60000
65,Hyundai,Santro LS zipPlus,2002,120000,Petrol,Individual,Manual,Third Owner,60000
66,Hyundai,Santro LE,2002,70000,Petrol,Individual,Manual,First Owner,65000
67,Maruti,800 AC,2002,100000,Petrol,Individual,Manual,Second Owner,65000
68,Maruti,800 AC,2002,100000,Petrol,Individual,Manual,Second Owner,65000
69,Maruti,800 AC,2002,70000,Petrol,Individual,Manual,Second Owner,80000
70,Hyundai,Santro LP zipPlus,2002,70000,Petrol,Individual,Manual,Second Owner,80000
71,Maruti,800 AC,2002,40000,Petrol,Individual,Manual,Fourth & Above Owner,80000
72,Hyundai,Accent CRDi,2002,100000,Diesel,Individual,Manual,Third Owner,85000
73,Skoda,Octavia Ambiente 1.9 TDI MT,2002,116000,Diesel,Individual,Manual,Second Owner,90000
74,Tata,Sumo SE Plus BSIII,2002,120000,Diesel,Individual,Manual,First Owner,100000
75,Maruti,Alto LXi BSII,2002,80000,Petrol,Individual,Manual,Fourth & Above Owner,100000
76,Maruti,Alto VXi,2002,60000,Petrol,Individual,Manual,Third Owner,120000
77,Tata,Indica LSI,2002,40000,Petrol,Individual,Manual,First Owner,125000
78,Honda,City 1.3 EXI,2002,100000,Petrol,Individual,Manual,First Owner,145000
79,Honda,City 1.3 EXI,2002,100000,Petrol,Individual,Manual,First Owner,145000
80,Honda,City 1.3 EXI,2002,100000,Petrol,Individual,Manual,First Owner,145000
81,Mahindra,Jeep MM 550 XDB,2002,50000,Diesel,Individual,Manual,Third Owner,150000
82,Hyundai,Santro LE zipPlus,2003,50000,Petrol,Individual,Manual,Fourth & Above Owner,48000
83,Tata,Indica DLX,2003,120000,Diesel,Individual,Manual,Second Owner,50000
84,Maruti,800 Std,2003,78098,Petrol,Individual,Manual,First Owner,50000
85,Fiat,Palio D 1.9 EL PS,2003,35000,Diesel,Individual,Manual,Second Owner,55000
86,Maruti,800 DX,2003,35000,Petrol,Individual,Manual,First Owner,60000
87,Maruti,Alto LXI,2003,5000,Petrol,Individual,Manual,Second Owner,60000
88,Maruti,800 Std BSIII,2003,50000,Petrol,Individual,Manual,First Owner,60000
89,Maruti,Wagon R LX,2003,100000,Petrol,Individual,Manual,Second Owner,60000
90,Maruti,Wagon R VXI BSIII,2003,90000,Petrol,Individual,Manual,Second Owner,70000
91,Hyundai,Santro LE zipPlus,2003,80000,Petrol,Individual,Manual,Third Owner,70000
92,Maruti,Zen LXI,2003,60000,Petrol,Individual,Manual,Fourth & Above Owner,70000
93,Hyundai,Santro LP zipPlus,2003,57000,Petrol,Individual,Manual,First Owner,75000
94,Maruti,Zen D,2003,100000,Diesel,Individual,Manual,Second Owner,75000
95,Maruti,Zen D PS,2003,110000,Diesel,Individual,Manual,Second Owner,75000
96,Hyundai,Santro LP zipPlus,2003,57000,Petrol,Individual,Manual,First Owner,75000
97,Hyundai,Santro Xing XG,2003,110000,Petrol,Individual,Manual,Second Owner,85000
98,Toyota,Corolla H3,2003,120000,Petrol,Individual,Automatic,Second Owner,95000
99,Maruti,800 Std,2003,54000,Petrol,Individual,Manual,First Owner,98000
100,Hyundai,Santro LS zipPlus,2003,60000,Petrol,Individual,Manual,First Owner,100000
101,Maruti,Zen D PS,2003,120000,Diesel,Individual,Manual,Third Owner,110000
102,Honda,City 1.3 EXI,2003,132343,Petrol,Individual,Manual,Second Owner,120000
103,Honda,City 1.3 DX,2003,165000,Petrol,Individual,Manual,Second Owner,120000
104,Honda,City VTEC,2003,90000,Petrol,Individual,Manual,Fourth & Above Owner,310000
105,Maruti,800 EX,2004,60000,Petrol,Individual,Manual,Third Owner,30000
106,Maruti,800 Std,2004,90000,Petrol,Individual,Manual,Second Owner,37500
107,Maruti,800 AC,2004,69111,Petrol,Individual,Manual,Third Owner,40000
108,Maruti,Esteem Lxi,2004,60000,Petrol,Individual,Manual,First Owner,45000
109,Maruti,800 AC BSII,2004,35000,Petrol,Individual,Manual,Third Owner,55000
110,Maruti,Alto LXI,2004,50000,Petrol,Individual,Manual,Second Owner,70000
111,Maruti,Wagon R LXI,2004,90000,Petrol,Individual,Manual,Fourth & Above Owner,70000
112,Maruti,Wagon R LXI,2004,90000,Petrol,Individual,Manual,Fourth & Above Owner,70000
113,Maruti,Wagon R LXI,2004,90000,Petrol,Individual,Manual,Fourth & Above Owner,70000
114,Maruti,Zen VXi - BS III,2004,80000,Petrol,Individual,Manual,First Owner,79000
115,Maruti,Zen VXi - BS III,2004,80000,Petrol,Individual,Manual,First Owner,79000
116,Maruti,800 Std BSII,2004,60000,Petrol,Individual,Manual,Second Owner,80000
117,Maruti,Wagon R LXI,2004,60000,Petrol,Individual,Manual,Third Owner,80000
118,Tata,Indica LXI,2004,46000,Petrol,Individual,Manual,Second Owner,80000
119,Maruti,Alto LX,2004,120000,Petrol,Individual,Manual,First Owner,80000
120,Hyundai,Santro Xing XG,2004,58000,Petrol,Individual,Manual,First Owner,80000
121,Hyundai,Santro Xing XG,2004,58000,Petrol,Individual,Manual,First Owner,80000
122,Hyundai,Santro Xing XG,2004,100005,Petrol,Dealer,Manual,Second Owner,90000
123,Maruti,Zen LX,2004,50000,Petrol,Individual,Manual,First Owner,95000
124,Maruti,Alto LX,2004,70000,Petrol,Individual,Manual,First Owner,100000
125,Honda,City 1.5 EXI S,2004,100000,Petrol,Individual,Manual,Third Owner,105000
126,Maruti,Zen LX,2004,79000,Petrol,Individual,Manual,Second Owner,105000
127,Maruti,Alto LX,2004,60000,Petrol,Individual,Manual,First Owner,110000
128,Mahindra,Bolero DI,2004,120000,Diesel,Individual,Manual,Fourth & Above Owner,110000
129,Skoda,Octavia Classic 1.9 TDI MT,2004,120000,Diesel,Individual,Manual,Second Owner,120000
130,Hyundai,Accent GLS,2004,110000,Petrol,Individual,Manual,Second Owner,120000
131,Hyundai,Accent CRDi,2004,120000,Diesel,Individual,Manual,Second Owner,120000
132,Maruti,Zen VXi - BS III,2004,110000,Petrol,Individual,Manual,Second Owner,121000
133,Honda,City 1.5 GXI,2004,120000,Petrol,Individual,Manual,Second Owner,125000
134,Honda,City 1.5 EXI,2004,110000,Petrol,Individual,Manual,Third Owner,125000
135,Hyundai,Santro Xing XG AT,2004,70000,Petrol,Individual,Automatic,Second Owner,125000
136,Maruti,Wagon R VXI,2004,46000,Petrol,Individual,Manual,First Owner,130000
137,OpelCorsa,1.6Gls,2004,73000,Petrol,Individual,Manual,Fourth & Above Owner,142000
138,Maruti,Wagon R VXI BSIII,2004,80000,Petrol,Individual,Manual,Second Owner,155000
139,Mahindra,Scorpio 2.6 SLX Turbo 7 Seater,2004,120000,Diesel,Individual,Manual,First Owner,170000
140,Honda,City 1.5 EXI,2004,200000,Petrol,Individual,Manual,Second Owner,180000
141,Ford,Endeavour 4x2 XLT,2004,120000,Diesel,Individual,Manual,First Owner,195000
142,Mahindra,Scorpio VLX AT 2WD BSIII,2004,223660,Diesel,Individual,Automatic,Third Owner,225000
143,Mahindra,Bolero DI DX 8 Seater,2004,168000,Diesel,Individual,Manual,Fourth & Above Owner,229999
144,Ford,Endeavour 4x4 XLT,2004,22288,Diesel,Dealer,Manual,Second Owner,275000
145,Mahindra,Bolero DI,2004,110000,Diesel,Individual,Manual,Third Owner,315000
146,Ford,Endeavour 2.5L 4X2 MT,2004,93415,Diesel,Dealer,Manual,First Owner,400000
147,Ford,Ikon 1.6 ZXI NXt,2005,25000,Petrol,Individual,Manual,Second Owner,20000
148,Ford,Ikon 1.3 Flair,2005,80000,Petrol,Individual,Manual,Third Owner,50000
149,Tata,Indica LSI,2005,140000,Petrol,Individual,Manual,Third Owner,51111
150,Maruti,Alto LXI,2005,23000,Petrol,Individual,Manual,Second Owner,56000
151,Maruti,Alto LXI,2005,23000,Petrol,Individual,Manual,Second Owner,56000
152,Chevrolet,Optra 1.6 LS,2005,126000,Petrol,Individual,Manual,Second Owner,60000
153,Maruti,Esteem Lxi,2005,60000,Petrol,Individual,Manual,Third Owner,60000
154,Ford,Ikon 1.3 Flair,2005,4637,Petrol,Individual,Manual,Second Owner,61000
155,Ford,Ikon 1.3 Flair,2005,4637,Petrol,Individual,Manual,Second Owner,61000
156,Maruti,800 AC Uniq,2005,70000,Petrol,Individual,Manual,Second Owner,65000
157,Maruti,800 AC Uniq,2005,70000,Petrol,Individual,Manual,Second Owner,65000
158,Honda,City 1.5 GXI,2005,150000,Petrol,Individual,Manual,Third Owner,65000
159,Tata,Indica DLS,2005,80000,Diesel,Individual,Manual,First Owner,70000
160,Maruti,Esteem Lxi,2005,60000,Petrol,Individual,Manual,Second Owner,70000
161,Tata,Indica DLS,2005,120000,Diesel,Individual,Manual,First Owner,70000
162,Maruti,Wagon R LXI,2005,80000,Petrol,Individual,Manual,First Owner,70000
163,Hyundai,Getz GLX,2005,90000,Petrol,Individual,Manual,Third Owner,70000
164,Hyundai,Santro Xing XG eRLX Euro III,2005,170000,Petrol,Individual,Manual,Third Owner,70000
165,Hyundai,Santro Xing XG,2005,68500,Petrol,Dealer,Manual,First Owner,70000
166,Maruti,Wagon R LXI,2005,70000,Petrol,Individual,Manual,Second Owner,70000
167,Hyundai,Santro Xing XG,2005,68500,Petrol,Dealer,Manual,First Owner,70000
168,Hyundai,Getz GLS ABS,2005,22000,Petrol,Individual,Manual,First Owner,71000
169,Hyundai,Santro GLS I - Euro I,2005,60000,Petrol,Individual,Manual,First Owner,75000
170,Maruti,Wagon R LXI,2005,70000,Petrol,Individual,Manual,Second Owner,75000
171,Hyundai,Getz GLS,2005,120000,Petrol,Individual,Manual,Third Owner,80000
172,Maruti,Wagon R LXI,2005,40000,Petrol,Individual,Manual,Second Owner,80000
173,Hyundai,Santro GS,2005,56580,Petrol,Dealer,Manual,First Owner,80000
174,Hyundai,Santro GS,2005,56580,Petrol,Dealer,Manual,First Owner,80000
175,Hyundai,Santro GS,2005,56580,Petrol,Dealer,Manual,First Owner,80000
176,Hyundai,Santro GS,2005,56580,Petrol,Dealer,Manual,First Owner,80000
177,Hyundai,Santro GS,2005,56580,Petrol,Dealer,Manual,First Owner,80000
178,Hyundai,Santro GS,2005,56580,Petrol,Dealer,Manual,First Owner,80000
179,Maruti,Wagon R VXI BSIII,2005,40000,Petrol,Individual,Manual,Second Owner,80000
180,Hyundai,Santro GS,2005,56580,Petrol,Dealer,Manual,First Owner,80000
181,Hyundai,Santro GS,2005,56580,Petrol,Dealer,Manual,First Owner,80000
182,Hyundai,Santro GS,2005,56580,Petrol,Dealer,Manual,First Owner,80000
183,Hyundai,Santro GS,2005,56580,Petrol,Dealer,Manual,First Owner,80000
184,Hyundai,Santro GS,2005,56580,Petrol,Dealer,Manual,First Owner,80000
185,Maruti,Esteem Lxi - BSIII,2005,24000,Petrol,Individual,Manual,First Owner,80000
186,Hyundai,Santro GS,2005,56580,Petrol,Dealer,Manual,First Owner,80000
187,Maruti,Swift 1.3 VXi,2005,118400,Petrol,Individual,Manual,First Owner,85000
188,Maruti,Wagon R LXI BSIII,2005,65000,Petrol,Individual,Manual,Second Owner,90000
189,Maruti,Zen LXI,2005,90000,Petrol,Individual,Manual,Second Owner,90000
190,Maruti,Wagon R LXI,2005,70000,Petrol,Individual,Manual,Second Owner,90000
191,Hyundai,Santro Xing XG,2005,120000,Petrol,Individual,Manual,Second Owner,95000
192,Maruti,Alto STD,2005,50000,Petrol,Individual,Manual,Second Owner,95000
193,Maruti,800 AC BSIII,2005,30000,Petrol,Individual,Manual,First Owner,100000
194,Honda,City 1.5 EXI,2005,120000,Petrol,Individual,Manual,Second Owner,100000
195,Hyundai,Accent CRDi,2005,120000,Diesel,Individual,Manual,Second Owner,100000
196,Tata,Indica DLE,2005,100000,Diesel,Individual,Manual,First Owner,100000
197,Maruti,Esteem Vxi,2005,20000,Petrol,Individual,Manual,Second Owner,100000
198,Maruti,Wagon R VXI,2005,100000,Petrol,Individual,Manual,Third Owner,100000
199,Maruti,Wagon R VXI,2005,100000,Petrol,Individual,Manual,Third Owner,100000
200,Hyundai,Accent CRDi,2005,120000,Diesel,Individual,Manual,Second Owner,100000
201,Maruti,800 AC BSIII,2005,30000,Petrol,Individual,Manual,First Owner,100000
202,Hyundai,Accent CRDi,2005,120000,Diesel,Individual,Manual,Second Owner,100000
203,Maruti,Alto LXI,2005,124000,Petrol,Individual,Manual,Second Owner,100000
204,Maruti,Swift 1.3 VXi,2005,80000,Petrol,Individual,Manual,First Owner,110000
205,Hyundai,Santro Xing XL eRLX Euro III,2005,90000,Petrol,Dealer,Manual,Second Owner,114999
206,Ford,Ikon 1.8 D,2005,92645,Diesel,Dealer,Manual,Fourth & Above Owner,114999
207,Hyundai,Santro Xing XL eRLX Euro III,2005,90000,Petrol,Dealer,Manual,Second Owner,114999
208,Maruti,800 AC BSIII,2005,20000,Petrol,Individual,Manual,Second Owner,120000
209,Ford,Fusion 1.6 Duratec Petrol,2005,100000,Petrol,Individual,Manual,Third Owner,120000
210,Mahindra,Scorpio 2.6 SLX Turbo 7 Seater,2005,120000,Diesel,Individual,Manual,Third Owner,120000
211,Mahindra,Scorpio 2.6 SLX Turbo 7 Seater,2005,120000,Diesel,Individual,Manual,Third Owner,120000
212,Ambassador,CLASSIC 1500 DSL AC,2005,50000,Diesel,Individual,Manual,Second Owner,120000
213,Ambassador,CLASSIC 1500 DSL AC,2005,50000,Diesel,Individual,Manual,Second Owner,120000
214,Maruti,Zen LXi - BS III,2005,34000,Petrol,Dealer,Manual,First Owner,125000
215,Maruti,Wagon R LXI BSIII,2005,50000,Petrol,Individual,Manual,Second Owner,125000
216,Maruti,Zen LXi - BS III,2005,34000,Petrol,Dealer,Manual,First Owner,125000
217,Hyundai,Santro AT CNG,2005,110000,CNG,Individual,Manual,Second Owner,130000
218,Hyundai,Santro Xing XG,2005,80000,Petrol,Individual,Manual,Third Owner,140000
219,Chevrolet,Tavera LS B3 7 Seats BSII,2005,150000,Diesel,Individual,Manual,First Owner,150000
220,Hyundai,Santro Xing XL eRLX Euro III,2005,47000,Petrol,Individual,Manual,First Owner,150000
221,Maruti,Swift 1.3 VXi,2005,67000,Petrol,Individual,Manual,First Owner,160000
222,Mahindra,Scorpio 2.6 CRDe,2005,250000,Diesel,Individual,Manual,Second Owner,175000
223,Toyota,Corolla H2,2005,100000,Petrol,Individual,Manual,Fourth & Above Owner,175000
224,Toyota,Innova 2.5 V Diesel 7-seater,2005,223000,Diesel,Individual,Manual,First Owner,200000
225,Mahindra,Scorpio 2.6 CRDe,2005,221000,Diesel,Individual,Manual,Third Owner,229999
226,Hyundai,Getz GLS,2005,70000,Petrol,Individual,Manual,First Owner,250000
227,Hyundai,Getz GLS,2005,70000,Petrol,Individual,Manual,First Owner,250000
228,Mahindra,Bolero DI,2005,90000,Diesel,Individual,Manual,Second Owner,300000
229,Maruti,Gypsy King Hard Top Ambulance BSIV,2005,70000,Petrol,Individual,Manual,Second Owner,300000
230,Toyota,Innova 2.5 G (Diesel) 8 Seater BS IV,2005,120000,Diesel,Individual,Manual,Second Owner,310000
231,Ford,Endeavour 4x4 XLT,2005,150000,Diesel,Individual,Manual,Second Owner,350000
232,Tata,Indica DLE,2006,120000,Diesel,Individual,Manual,Second Owner,45000
233,Tata,Indica DLS,2006,120000,Diesel,Individual,Manual,Fourth & Above Owner,50000
234,Maruti,Alto LX,2006,120000,Petrol,Individual,Manual,Third Owner,52000
235,Maruti,Alto LX,2006,120000,Petrol,Individual,Manual,Third Owner,52000
236,Tata,Indica DLS,2006,100000,Diesel,Individual,Manual,First Owner,55000
237,Tata,Indica DL,2006,100000,Diesel,Individual,Manual,Second Owner,55000
238,Maruti,800 AC,2006,70000,Petrol,Individual,Manual,Second Owner,55000
239,Tata,Indica DLS,2006,80000,Diesel,Individual,Manual,Second Owner,57000
240,Hyundai,Santro Xing XG eRLX Euro III,2006,120000,Petrol,Individual,Manual,Third Owner,60000
241,Maruti,Omni LPG STD BSIV,2006,135000,LPG,Individual,Manual,Fourth & Above Owner,60000
242,Maruti,Alto LXi,2006,100000,Petrol,Individual,Manual,Second Owner,60000
243,Maruti,Alto LX,2006,124439,Petrol,Individual,Manual,Second Owner,65000
244,Hyundai,Santro Xing XG,2006,110000,Petrol,Individual,Manual,Third Owner,70000
245,Tata,Indica LSI,2006,60000,Petrol,Individual,Manual,Second Owner,70000
246,Maruti,Zen LX - BS III,2006,105700,Petrol,Individual,Manual,First Owner,70000
247,Maruti,Alto LXi,2006,80000,Petrol,Individual,Manual,Third Owner,75000
248,Maruti,Wagon R LX,2006,96000,Petrol,Individual,Manual,Second Owner,75000
249,Tata,Indica GLS BS IV,2006,100000,Petrol,Individual,Manual,Second Owner,75000
250,Tata,Indigo GLX,2006,40000,Petrol,Individual,Manual,Second Owner,75000
251,Maruti,Wagon R VXI BSII,2006,80000,Petrol,Individual,Manual,Second Owner,75000
252,Maruti,Alto LX,2006,130000,Petrol,Individual,Manual,First Owner,75000
253,Maruti,800 Std MPFi,2006,64700,Petrol,Individual,Manual,First Owner,78000
254,Maruti,Baleno Vxi,2006,120000,Petrol,Individual,Manual,Third Owner,80000
255,Maruti,Swift 1.3 VXi,2006,66508,Petrol,Individual,Manual,Second Owner,80000
256,Maruti,Zen LXI,2006,70000,Petrol,Individual,Manual,First Owner,80000
257,Maruti,Zen LXI,2006,70000,Petrol,Individual,Manual,First Owner,80000
258,Hyundai,Santro Xing XO,2006,110000,Petrol,Individual,Manual,First Owner,80000
259,Hyundai,Santro Xing XO,2006,110000,Petrol,Individual,Manual,First Owner,80000
260,Ford,Fiesta 1.6 ZXi Leather,2006,83411,Petrol,Individual,Manual,First Owner,81000
261,Tata,Indica DLS,2006,300000,Diesel,Individual,Manual,Second Owner,85000
262,Maruti,Esteem Vxi - BSIII,2006,60000,Petrol,Individual,Manual,Second Owner,85000
263,Hyundai,Santro Xing XL AT eRLX Euro III,2006,100000,Petrol,Individual,Automatic,Third Owner,85000
264,Maruti,Esteem Vxi - BSIII,2006,60000,Petrol,Individual,Manual,Second Owner,85000
265,Maruti,Wagon R LXI,2006,62009,Petrol,Individual,Manual,Second Owner,90000
266,Hyundai,Santro Xing XG eRLX Euro III,2006,120000,Petrol,Individual,Manual,Second Owner,90000
267,Maruti,800 Std BSII,2006,40000,Petrol,Individual,Manual,Second Owner,90000
268,Hyundai,Santro Xing XG eRLX Euro III,2006,120000,Petrol,Individual,Manual,Second Owner,90000
269,Maruti,800 Std BSII,2006,40000,Petrol,Individual,Manual,Second Owner,90000
270,Maruti,Esteem Lxi - BSIII,2006,90000,Petrol,Individual,Manual,First Owner,90000
271,Maruti,Alto LX,2006,60000,Petrol,Individual,Manual,Second Owner,90000
272,Hyundai,Accent GLS 1.6 ABS,2006,75000,Petrol,Individual,Manual,Third Owner,90000
273,Ford,Fiesta 1.6 ZXi Leather,2006,83411,Petrol,Individual,Manual,First Owner,95000
274,Maruti,Esteem Vxi - BSIII,2006,110000,Petrol,Individual,Manual,First Owner,95000
275,Maruti,Alto LX,2006,90000,Petrol,Individual,Manual,Second Owner,95000
276,Maruti,Swift 1.3 VXI ABS,2006,110000,Petrol,Individual,Manual,Third Owner,95000
277,Maruti,Esteem Vxi - BSIII,2006,110000,Petrol,Individual,Manual,First Owner,95000
278,Maruti,Alto LXi,2006,80000,Petrol,Individual,Manual,First Owner,100000
279,Hyundai,Santro Xing XL eRLX Euro III,2006,40000,Petrol,Individual,Manual,Second Owner,100000
280,Tata,Indigo GLX,2006,110000,Petrol,Individual,Manual,Second Owner,100000
281,Hyundai,Santro Xing XL eRLX Euro III,2006,40000,Petrol,Individual,Manual,Second Owner,100000
282,Maruti,Alto LXi,2006,80000,Petrol,Individual,Manual,First Owner,100000
283,Hyundai,Santro GS,2006,120000,Petrol,Individual,Manual,Second Owner,100000
284,Hyundai,Santro Xing XL eRLX Euro III,2006,60000,Petrol,Dealer,Manual,Second Owner,100000
285,Maruti,800 AC,2006,54000,Petrol,Individual,Manual,First Owner,100000
286,Maruti,Alto LX,2006,100000,Petrol,Individual,Manual,Third Owner,105000
287,Ford,Fiesta Classic 1.4 SXI Duratorq,2006,120000,Diesel,Individual,Manual,Third Owner,110000
288,Ford,Fiesta Classic 1.4 SXI Duratorq,2006,120000,Diesel,Individual,Manual,Third Owner,110000
289,Ford,Fiesta Classic 1.4 SXI Duratorq,2006,101100,Diesel,Individual,Manual,Third Owner,110000
290,Tata,Sumo GX TC 7 Str BSIII,2006,100000,Diesel,Individual,Manual,Second Owner,115999
291,Tata,Sumo GX TC 7 Str BSIII,2006,100000,Diesel,Individual,Manual,Second Owner,115999
292,Tata,Sumo GX TC 7 Str BSIII,2006,100000,Diesel,Individual,Manual,Second Owner,115999
293,Maruti,Zen VXI,2006,77000,Petrol,Individual,Manual,Second Owner,120000
294,Hyundai,Accent GLX,2006,110000,Petrol,Individual,Manual,Second Owner,120000
295,Chevrolet,Optra 1.6,2006,79000,Petrol,Dealer,Manual,Fourth & Above Owner,120000
296,Hyundai,Elantra CRDi (Leather Option),2006,120000,Diesel,Individual,Manual,Third Owner,125000
297,Honda,Civic 1.8 S AT,2006,70000,Petrol,Individual,Automatic,First Owner,125000
298,Mahindra,Scorpio 2.6 CRDe,2006,50000,Diesel,Individual,Manual,Second Owner,125000
299,Maruti,Swift 1.3 VXi,2006,110000,Petrol,Individual,Manual,Third Owner,130000
300,Hyundai,Getz GL,2006,80000,Petrol,Individual,Manual,Third Owner,130000
301,Maruti,Alto LXi BSIII,2006,90000,Petrol,Individual,Manual,Third Owner,135000
302,Maruti,Esteem Vxi - BSIII,2006,70000,Petrol,Individual,Manual,Third Owner,140000
303,Chevrolet,Tavera LT L1 7 Seats BSIII,2006,200000,Diesel,Individual,Manual,Third Owner,140000
304,Hyundai,Santro Xing XS eRLX Euro III,2006,52000,Petrol,Individual,Manual,Second Owner,145000
305,Hyundai,Santro AT,2006,66000,Petrol,Individual,Automatic,Second Owner,145000
